timestamp,window_size,src_ip,packet_count,packets_per_second,unique_dst_ips,unique_dst_ports,port_entropy,connection_attempts,connections_per_second,failed_connection_ratio,syn_ratio,rst_ratio,mean_flow_duration
1772651241.4378738,10,72.145.35.113,1,0.1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0
1772651242.2548158,10,27.67.51.106,1,0.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
1772651242.2558575,10,27.67.51.106,2,0.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
1772651242.2558575,10,27.67.51.106,3,0.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0010416507720947266
1772651242.2673326,10,27.67.51.106,4,0.4,1,1,0.0,0,0.0,0.0,0.0,0.0,0.006779193878173828
1772651242.280946,10,125.235.36.216,1,0.1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
1772651242.280946,10,125.235.36.216,2,0.2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
1772651242.280946,10,125.235.36.216,3,0.3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
1772651242.295026,10,125.235.36.216,4,0.4,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0070400238037109375
1772651242.478031,10,27.67.51.106,5,0.5,1,1,0.0,0,0.0,0.0,0.0,0.0,0.07892449696858723
1772651242.5040786,10,125.235.36.216,5,0.5,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0790708859761556
1772651242.8962402,10,27.67.51.106,6,0.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.21954947710037231
1772651242.919431,10,125.235.36.216,6,0.6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.2189244031906128
1772651243.6046848,10,192.168.1.165,1,0.1,1,1,0.0,1,0.1,0.0,1.0,0.0,0.0
1772651243.6046848,10,192.168.1.165,2,0.2,1,1,0.0,2,0.2,0.0,1.0,0.0,0.0
1772651243.628878,10,192.168.1.165,3,0.3,2,1,0.0,3,0.3,0.0,1.0,0.0,0.0
